"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW0_30,SW0_-8,SW0_13,SW0_29";"SW_MX_1u";4;"2u";;;
2;"SW3_3,SW2_8,SW1_12,SW-1_-7,SW1_9,SW-1_-6,SW-1_3,SW-1_-5,SW4_10,SW0_10,SW4_6,SW-1_4,SW3_6,SW0_-7,SW1_4,SW3_4,SW-1_2,SW0_12,SW1_7,SW0_11,SW-1_13,SW1_1,SW3_11,SW0_-5,SW1_8,SW-1_1,SW-1_6,SW0_2,SW-1_5,SW3_5,SW4_9,SW1_5,SW0_21,SW-1_12,SW3_7,SW1_6,SW2_1,SW3_1,SW-1_-8,SW0_31,SW1_10,SW0_4,SW2_6,SW-1_10,SW-1_0,SW0_9,SW0_8,SW2_2,SW0_16,SW0_3,SW1_3,SW0_5,SW3_8,SW4_8,SW-1_11,SW0_7,SW2_5,SW0_6,SW3_12,SW-1_8,SW0_26,SW0_1,SW0_0,SW-1_7,SW0_28,SW2_3,SW0_17,SW2_11,SW1_2,SW0_15,SW2_4,SW4_7,SW-1_9,SW3_9,SW3_2,SW2_10,SW2_7,SW2_9,SW1_11,SW0_-6";"SW_MX_1u";80;"1u";;;
3;"S5,S8,S6,S7";"STAB_MX_2u";4;"MX_stab";;;
4;"SW4_5,SW4_3,SW3_0,SW2_12";"SW_MX_1u";4;"2.25u";;;
5;"S9,S3,S1,S4";"STAB_MX_2.25u";4;"MX_stab";;;
6;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
7;"SW2_0,SW3_10,SW4_12";"SW_MX_1.75u";3;"1.75u";;;
8;"SW4_4,SW4_1,SW4_0,SW4_2";"SW_MX_1.25u";4;"1.25u";;;
9;"SW1_0,SW1_13";"SW_MX_1.5u";2;"1.5u";;;
10;"S10";"STAB_MX_2.75u";1;"MX_stab";;;
11;"SW4_11";"SW_MX_1u";1;"2.75u";;;
12;"D33,D4,D103,D8,D6,D65,D55,D32,D60,D46,D49,D24,D58,D61,D101,D21,D44,D93,D56,D94,D1,D102,D112,D51,D80,D40,D113,D9,D42,D23,D41,D26,D109,D88,D87,D28,D5,D14,D50,D19,D115,D78,D25,D37,D43,D2,D13,D92,D89,D91,D29,D20,D83,D36,D97,D62,D95,D31,D22,D106,D64,D96,D45,D47,D90,D111,D99,D53,D16,D86,D68,D35,D110,D7,D57,D107,D39,D108,D30,D63,D98,D38,D17,D67,D48,D59,D54,D10,D3,D18,D34,D104,D105,D114,D15,D52,D81,D12,D27,D11";"D_SOD-123";100;"D_Small";;;
13;"R4,R1";"R_0805_2012Metric";2;"22";;;
14;"R10,R7";"R_0805_2012Metric";2;"10k";;;
15;"R2,R3";"R_0805_2012Metric";2;"5.1k";;;
16;"C6,C4,C5";"R_0805_2012Metric";3;"0.1uF";;;
17;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
18;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
19;"C10";"R_0805_2012Metric";1;"1uF";;;
20;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
21;"C7";"R_0805_2012Metric";1;"10uF";;;
22;"D66";"SOT-143";1;"PRTR5V0U2X";;;
23;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse_Small";;;
24;"SW3";"SW_SPST_SKQG_WithStem";1;"SW_Push";;;
25;"C8,C9";"R_0805_2012Metric";2;"22pF";;;
