Comment,Designator,Footprint,LCSC,Quantity
Polyfuse_Small,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C1048,1
PRTR5V0U2X,D66,SOT-143,C12333,1
16MHz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
0.1uF,"C4,C5,C6",R_0805_2012Metric,C141124,3
10uF,C7,R_0805_2012Metric,C15850,1
10k,"R10,R7",R_0805_2012Metric,C17414,2
22pF,"C8,C9",R_0805_2012Metric,C1804,2
5.1k,"R1,R2,R3,R4",R_0805_2012Metric,C27834,4
1uF,C10,R_0805_2012Metric,C28323,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C37616412,1
ATmega32U4-A,U3,TQFP-44_10x10mm_P0.8mm,C44854,1
D_Small,"D1,D10,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D67,D68,D7,D78,D8,D80,D81,D83,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",D_SOD-123,C552328,100
SW_Push,SW3,SW_SPST_SKQG_WithStem,C97448,1
